msno,is_churn
3k0HbaA5xWGIDTERJRB48sqUa3PBDWqubL5i6hv2Irw=,0
TPZv90EaM28F/6S/7WcxUgzYqio+XipZc+7ubPxo2uI=,0
Xmwx4a7vmiRhm/0oQRjwU4UDsGYD7tKQH7Zv86xJ1jI=,1
pfx2qBh1nRZw4XLOGi7po4X4KNbphezqr2bK4YbzwFE=,0
9tbsMLQWrkffOrHcWigmDdae2C/bRz0cA6LZM0hZ9sc=,0
6YBgmoROirpdzFb3z77uvLxd1WdX4bIkbOasFVT/uWI=,0
6h/iRg8ziajtNOBNFnHCqoPE6hq/CzCUbRncBDW955Q=,0
rf/v2nVkbnEKQ5CZ4Er2iChHYF4C6+HCYSkX7a/YPOE=,0
FH6pS08vbWKJQR6upKY83SpRTN2agoES45DFYSrQZjM=,0
7ijqMJuWReF1BNqObIr7qguZoeG5VR/PO8o61yKkACI=,0
59Egv3VCuiMlF9uMq6bAMihPfgzAiPaNn7hapDTeWyA=,0
Fv+GCyQ0rZUefFw89ZF4ql3VsTsgJ4GVjBa+bkm4T3o=,0
uWD+VxT8KBJ/FXbqjhvdJ99v9EBrvpKuaRT8mE7Yg5w=,0
tlpZvp7uqvGBnR7kPi7ihl8A8uiYAqpvTS3Fr/LGq4E=,1
JyNuyluzLCwLnMgT5YZxfyxz9rOzwXsli3c6TO3b66Q=,0
ObyRmmjEfz48n/a51b+yk74FtphgnB1yM1qn2Ic8wGs=,0
PowgzHxW09gyWG7VRxdYR2Uw92+f6NY7dAyrh2mqjYM=,0
xEldp1CVxkv04Fh+RddCb0lspPyf5yERcVAFNhz+AEE=,0
yhBW/klnc/Qtoly20wuwL9KYhb4Z/GKQHinwWJVl93M=,0
ogVLtn5kxLctsFqAqlhctHZcs1jujP4tpG1lROy2hdg=,0
Yg96ct1FbzlMpG81UVhb1pALjJ/86FTFzgQue3qIezY=,0
cL60QAKze8DHYWIOryJEU/EMG2KWT//taeqrBdJyOgo=,0
McbKAhKx5itjygpM3rbpPoloQKBxjJdCQcVAwj9st7g=,0
AE7jc8wsATV1Ia4UGXQcaPtFFK7joNkgZ+0PRiUh0qM=,1
Zr/WDBz8nY/blfmtiCksey4W8PJRbAnkRmGzl9ch8ag=,0
6j9Y1ujQuEJVYiVBh0U64DXxiE8yYi/aBJzlk+VflGs=,0
cTcJ8r1wUpNNvLA8dNK6Helil8SsQQhqyGoCMNaypxM=,0
zTgVLn5vynsGD3I77Z++qvLp3nrPts2n3NDlBKr4wpo=,0
j5CQNV2m1DQ3oUY9iSr03uF2Rc7vaHNs5hmVRMykIn0=,0
RUR2z/6sofIHORlrA2vk/KoqcXSV4EzAHKCi+ucNRkM=,0
95yzMCLJHCN2Og+CuS6hObATTfXntj8VvpmLrYo05ok=,0
tNa/oo1u923oRKfo1+IIMyhLjzWM28PO/ljZDZs1ylA=,0
Zm3VcNmUVviDk+1Qq/lwDRFOAbBHqxz94+kcah3FA1I=,0
kWXcsiQa1mrkolkQ2lfvMpQSkDGGQ2Ih2NUwV1HBgE8=,1
S+rAOukH+x8YMcKDHVLIOMniW5dGco69VMk6VFbTL4k=,0
Rv5UgmqAUNhOtvJYauY510/UnkYwhsVY7IDn8M74j50=,0
IfxEjZQ0fSHhZS536pxtdgutDBgrTpzCl7vzpnmlYpk=,0
9p2SFMY0KTTWrbb8UQhGAP+94H/4VZNJclq63eMAMY4=,0
LVWJ99vx8S/SKCoL9d48mQAmT22OcnQSGH+EbxE3RSw=,0
Vorx3iqIg0BOswEZ2+Mf9ESpbc/YfyC7LS+6P8C777U=,0
4xf5x/T98XT+8SVL310mChRmp2sDsYJAT6KAKyoV4SQ=,1
V8EY9Tai6Ar1pNCAL/w8bcIP70o4wWzcbIrukObBfiY=,0
exFXAZROf7gsuV7ab4v5OkMPJUftuyp8R3IUvuqKWiE=,0
7OGf04Fy7exzX+hu7vGfG7p0D8wymwGGzGyjz2d64tk=,0
SzuBJKGGzZ4pcd0ZmxTsJLDJ/i2LVWNVDJCpxQNKjdI=,0
Ayj0mU+G2GbKPHeFQ9yPDiTPqkgOJT5R4RP3r51DKsY=,1
4kR6YIry7i8WOiq/UPT4aA8JaPbxOTiJCWaHSPlk1pU=,0
tkEEvFrYtTMzXXWCAKaO8zf4yHNsxKEYG6Ka6MyL/3c=,0
3Dkn/6IN2mgFc4w21a47hhmnSULrw/Qys6PfTeymgEo=,0
BO89dG8Dbgj0EDMRotD9638GljfkcAUn8ZhTJPvI7wk=,1
ufvAbRP/O9VBVK/GyhwNzSrsQivPhnt3WnrQNfZ0+SQ=,0
QudwyyjJku9nj6Njn1SeEfuwZY8y5en01kp3rnznjlU=,0
PgJwTf+PzgMkxkzE5v1IovyaeUNjZ4Gh1RRXCN+LPsc=,0
CM0X6hjqvovhHLDHiqwIheLwltpQ9sGWg6/d33/oQkc=,1
6zM93SmkP6gz8/tvB4kl+84caBC2qlONk/qny6q5ooY=,0
f4Hm0WU9g+M28IreB5Wt+nJP5GcF6LFQ1QJzBn/+f2o=,0
iBsGykCZ5HB1kPGd9e+/ZvzjEnQ1S2UT5Wb3iedkcZg=,0
yQl7idRFJxbh1I8h53SwBpCMrfkiHzu8Bg8spCf5JNA=,0
IzWsxa96SJRvh/3ShofiFLfx4czjtkvGFePqA5rUNfU=,0
MeLcKNEgiLEAcXEjS+SdV+WN4BbJ8sCf4J+I7GolXv8=,0
dduugAY/nziUCQtMw+NQSr/bCHCqsR0YSh2aboT6TFA=,0
6heqQYaeOPjy58ZZfuNQ2zfk8165z+/ZbB3kpYzVZFw=,0
RAO6cLPbEjJ1ZgmzorMUbpDRayd3GroE02RehlqyZzQ=,1
F0EWDt5IlridPzaQbABhMUvBw84389GMphoto93Seq8=,0
5PI+GeZj1X24+H8CflZgo67a2e1Gjf3I4HDh4/KxIJ0=,0
k2jV42CuLfcOY6ldve5o6S0WIuetpSEKDrbwY3quho0=,0
IDJbFuCjsN3+D1JYtP0beFmxxv6KSjlvJeBpat1kAqQ=,0
4xCfDh9IaqnFF0HTZ7wcHUaDM82rRgGgkzwOJobYfGY=,0
S4bpTljEDiEf80VakVpfetl8cyAj88Ly2Au6AtEi6/c=,0
lRaOVjaB4HniD+2kU8eYPS1GYaGgLXStvWyNsPYW7DA=,0
0HC5pBlU9N5Of1fubqf8zSnOMJUwsi/NHOHjKpo680Y=,0
+ViwDXfNQvrVFYuKR41YrosL/VpqqASr+IjPZ6ksyN4=,0
8AHyK5mk3ZnLtraNyySEkaJ31MfLDxG/zIFRLJ2FjVk=,0
AylswnHd2+Xpo0RJ98+7pIllMzHT5Lu7dN4xc7yVe+s=,0
Z/lgK71B/YzIsJG+reg0ReQESggnetyHDxpONvmB/8M=,0
issF2zcFOL0i7XkHxlNkGKfp2B0Ug4DXSOsdvZzvlcA=,0
Wfs5Zqh9zYJpoZ9a0/vPXf382qcRmCxcQlN5n7BfviM=,0
GSXzzY+hXIwm7msBenUeJkaFRWqOJz7Q2G5ElNSIaSs=,0
Lvz3GgMLrf+VddF+n9EcHYx7yUQxZd/wNGr51765nj4=,0
sf2yaPznAgpRWEufcjFFPCNyQH8ednRa2H/yYXecIYM=,0
OuGt0xVy/Qd98Y1ZQLXLoaE7ypZEpuph8pVT07+1BiQ=,0
yZUVpIvv80nHMB+42L2NUt80HkTiGHQjgHD3BA5wYCc=,0
6lFTU2xN2/+PnyMMK2LCWb6Fz6BdcDZywcEgdeOTbmI=,0
TJm256fNDaQteKHnUIIcrkIvXi/7PD3AoalOwjT7Pqk=,0
H55kvLjihordBpMijkzOQVQtcv45SDTmMgNLG7lm+D0=,0
I4gV4oJ70pNnrVqF6a8gNCeqstZD+L8ifnayujIkBok=,0
JfM2u+2y/5hMd1bjDibHLx0ZJrc6xzq3cfPTi8Ny9yg=,0
T8V+d3iiHNuHGhZuk0QOWjW35TJSCqml6dPoQZ4AgAI=,0
fjikPK1u5dLI4RjZ1YfCq4T6Y3pw1Ab1HAg96VJ11C0=,0
p27bVDKsREWcMtOjzYRcHXsBeF30CBg89LjmzzbIqBs=,1
tUQVudTs9RNsH5TM06eZDeK/p0ApON9fX0/Hws4xC1A=,0
BPfim1T6ybk6a/UCBaMT5EE+HTDgwSMs921C3wF8Fk8=,0
1WjAeP3sm6ZJQtlFaT4KE18cS8eLghnZr4m3XZHF2GY=,0
t+kHYGV/ZZtN0OisCa7+06CGTY7k3YhXFZjH70jdF04=,0
blkBGutTg63d+8GVnvtak8txUlJUEA/y/3e4GrfM8xw=,1
/TfFZeq4exwRE5tjgSsWxX3n6oxMHZGwK6gFr8yrd4E=,0
zOA9uFD9ASeiVnz92Bqf4To3Daiag4ytu3srsHwEF38=,0
VYUJeInK86VhRNezuwyJVIp/YHGd+7Rq3PGZgIk9vMA=,0
uSE5GkS3FzX9Yo/dH7l/Llms4mHx3xCCcKgH4U9kJJg=,0
vBbt2Qq3KsQR16eJA4UUmIF9uboBEJW5CWLRcQD3Foo=,0
XeIRu0mNTrS/MMZBXMJTJw7YKSFtT60h2WdqvOKhm3Y=,0
S0xGFV7fH9IrcQEq/+RNbXJIHlgDNXrEMT4IaJqEIes=,0
a4Khs7vDVm2nKr1zA+v/XxCO9dHwO9B6694QMUOPR7g=,0
ou+7VfMocJuwSDgQGj0qcGydPMYhtaM5OoNBvGuW6IA=,0
12b5KZztEMbmbB2K5mn+BuwLI9U71Q/9xwpMYRSvC/I=,0
rrdsAqVsIXXiQLV6lsrTLaOozkzqWNSvpFhymGxcmSM=,0
HtW+akf1Iscf4XTueJxR9JJaOfTndKhIqDGklHaSor8=,0
7jBMDqD8ST+ytK0oxR3ehGevclUVk2kb4HiT3g7q69U=,1
UuPfKRrnP5JgUExEtQCsC/jjMLI/tSwlT4+JWGhsLII=,0
za5G1N5eQegirQtMWIvomS7heL579COudE2LLWb8Phs=,0
8HTp/clYdIHuAA6WdlIEZrTpSG6N8qhJNDpeHFnSHYU=,0
LCJm50Zgl9EjbowXQoCzlHlx8/YOyY9pr1JKUbAn3f0=,0
wETysKvTvPdC7loYZlX7oPbXEHuPleytsGwRgte60Sc=,0
ClnKO11SelqIzjDs7kZ8hVErPqw43koEdwLH3IXhasU=,0
YRzb+jARSaB/aY8oN6H7x34ep6Yk8u6Ru53UgnrZMg4=,0
NiZfdDV7hgR8em7wAAqGys1QFyRjCXiKGdy6F4Ar4gA=,1
aYLvoj7RmIQzDZv1QQ5fRt9cxA0ZwmkZWjYqTYrP6fU=,1
xiIkxL6iadWshqfImgwQYog0m9cs71Ojz7WBHhyTI1k=,0
4J3nVcmBRo6Ri4la7g1X8VH7buaeWC+7zT+LY1vz3OE=,0
WJXXfz2/01LMTHQOPX+Z4gxvlS1CzPxXE5WzwOFfjVQ=,0
xY1ki0PYRD0Um6n/OC1fb0yjqLRgk+sAoK+86W8BAsA=,0
CPl3b6sQa8S4vC8J58WYBF5pj09b7c5xWKvnViuW41I=,0
P8e3yGfz13Q0/NCryMbMkda0Llcc5s+ZbVcP42ML190=,0
MWGp6xDu9yRrNguLSTF794luC3g0Ml7Q1GQogj+6k+c=,0
QSHeUb2gmSSKPafEiD7pRPnQG/ndMcE6WyhyYL2pEfE=,0
MgKTbygW75xhJAJ7sEDrBxyc+g/H6MuzswmzD/+egy8=,0
j7jfQE6qAXYf54cb274P3FBH1OL/VYFjmwaPJ3PoHUw=,0
I0t7xbotPzpYUSyTapm4V0xU3CeCybn0z73GduEkEEg=,0
Si2aFDsKFbRR/UXZNLbAOWXIlG+HSAmHbD8avQD40FU=,1
fDSLYz4zkJwaxPtWx75f/oMf3zLShA6bKm1XTN8bfWw=,0
IQhF5NgrB4suuNHKHDxqQHx6mV28QwP/g71ZI3OzmdU=,0
539Aa2iTwXzzWCNhizZvQeNw+lYZX86uq15YwdSRjiA=,0
3X3kxu7ZjWjZvYIa4IcMqaA5ye+1mF5B9z479h7wbcY=,0
GD+AvlV6RP6fFpGAkcWVgh7/o6il/OvAxvOo8a/Bblo=,0
UiCuQlx3Cn6Fpm1spr/PZQPORhoh2V7bM2tITs5QZpw=,0
aGn9k08lpJqJuKeAJs2msBw/WgA2rlRG9/xMj4T2+DQ=,0
Zsm7FPZQjONY/eTIzzyZLZBf1CLOSuxewtHzwAPNu6g=,0
UKq9jOO17UrtoSVAVynuuhcS74TWJBIMoeuQess0hkg=,0
jkfB4TBnARWSVqit22/k3TmWB/JdRIZjx3BeY1n4Hos=,1
g0oh1JgBglAPi/BP1kJ65kx7J48kRCVuY2UkB4tlTyg=,0
1zSrZl1bOtC3Dr9/WKGPRL86gJM16s2Voing0Q3RnEE=,0
T7lqclpgJFDsQ0RuWNTcOxa1D8RVvFhn+xiH5jEulqE=,0
t0LkiKyLf36dmktEqD2R3VlzzCQRU7sETv4eT/WFGec=,0
04LjjL/BeMbUujC1rRSuV4ibQlbFH0+jlJQ+POyHc58=,0
5PpumtZhVcWXi5f9L/s9Z2p0R/1MfptOWEVTIylj7Y0=,0
4nH+qojMkQXm0yafMw/9AC4r0BIk4OZkbF14oAnCgEY=,0
dg9RrhrIwjuhpLuJHtjZyqwrI8zkbFlqdvWjWDiZSwY=,0
HcMwse1GWj5fx2yVFEl6J/CPeGMyXjsrCXS5aKXRyTc=,1
MPunWw3YZxqkeVg0srnfK82SG1wpvXUCe6xsmLF4sKU=,0
